user.position,user.affiliation
Director Customer Experience and Analytics,JetBlue
PR/Marketing Rep,"Jones-Dilworth, Inc. "
CTO,Kaggle
Chief Data Scientist,Kaggle
Text Mining Consultant,Kitano Consulting
Consultant,LANL
Professional research assistant,"LASP, University of Colorado, Boulder"
Computer scientist,Lawrence Livermore National Laboratory
"Manager, Data Management Solutions","LiveOps, Inc."
Project Leader,Los Alamos National Laboratory
Research Associate,Luth Research
Manager of External Partnerships,Macmillan
Director,Madlab
Chief Architect,"Merced Systems, Inc."
"Director, Technology Innovation",Merck
Research Engineer,Microsoft
Sr. Program Manager,Microsoft
Lead Software Systems Engineer,MITRE
senior director,motorola mobility
"Manager, Web Systems",National Instruments Corporation
search engine developer,NCsoft
information service,NCsoft
Member of Technical Staff,NetApp India
Analyst,Ning
Enterprise Architect,Nokia
Data Modeling Manager,Nokia
Consultant,Nomura Research Institute
Founder,Numbers Run
Chief Data Officer,NYSE Euronext
Software Architect,OCCMundial.com
Head of Research and Development,OCCMundial.com
data editor,oecd
Software Architect,Oracle
Director,Orange/France Telecom
Special Projects Director,O'Reilly Media
engineer,PatientsLikeMe
Senior Software Engineer,PatientsLikeMe
Software Engineer,PayPal
SAS System Developer,"PayPal, Inc"
"Director, Strategic Market Development",Pervasive Software
Chief Everything,Plainify LLC
Digital Channel Manager,Plunket NZ
Associate,Population Council
grad student,Presidio Graduate School
Software,Public Library of Sciences
Software Developer,Quantcast
Software Engineer,Quantcast
Director R&D,Quest Software
Data Scientist,Quest Software Pty Ltd
VP of Research & Development,Rails Machine
Co-Founder,Rapleaf
Senior Software Engineer,Raytheon/JPL
Senior Systems Engineer,SAIC
Programmer/Analyst,Seeker Solutions Inc.
Analyst,Self
Self,Self
Data Architect,Self
Senior Database Engineer,self-employed
"VP, Director, Applied Analytics",Starcom
Global Operations Supervisor,Starcom Worldwide
"Co-Founder, CTO",Street Media 7
"Vice President, Data Analytics",Survey Sampling International
Researcher & Strategist,"Technology Enhanced Knowledge Research Institute, Athabasca University"
Technology specialist,TELEFONICA I+D
Architect,The 41st Parameter
Senior Developer,The Dachis Group
Application Developer,The James Irvine Foundation
"Vice President, Advanced Technology",The Walt Disney Company
CEO,Think Big Analytics
Architect,Thomson Reuters
product development  manager,Thomson Reuters
Director of Product Development,TradeKing
Astrophysicist,U.C. Berkeley
Postdoctoral Researcher,UCLA Neurobiology
"Director, International Research",Universal Pictures International
Database Architect,University of Colorado - LASP
Ph.D. Research Student,"University of Kent, Canterbury, UK - School of Anthropology and Conservation - Centre for Social Anthropology and Computing"
Graduate Student,University of Washington
Host Systems Administrator,UNT Academic Computing and User Services
P&D Director,UOL
Sr Business Analyst,UTI Worldwide
Programmer/Analyst,Van Andel Institute
CTO,Waag Society
Project Manager,Waters Corp.
architect,weatherbill
CTO,WeatherBill Inc.
CEO,Webster Clay
integration engineer,wells fargo
Business Process Analyst,Wells Fargo
Analyst,Westat
CTO,"Where, Inc"
